w_c,w_s,p,r_in,h,n_rings,r_out,gamma_eff,bias_g05,bias_g50,bias_g90,solve_s
1.0,0.5,1.5,3.0,0.25,55,8.0,0.7,3.485149330240134e-07,1.7952870101645146e-07,0.20666408408650994,0.7
1.0,0.5,1.5,4.0,0.25,55,9.0,0.75,2.408468436909672e-07,1.56552137177135e-05,0.02733307748754088,1.0
1.0,0.5,1.5,5.0,0.25,55,10.0,0.8,2.162156804708104e-07,2.010950075725937e-05,0.026436683877453016,1.3
1.0,0.5,1.5,6.0,0.25,55,11.0,0.85,2.0813272805231264e-07,2.74597889645678e-05,0.025822793009780298,1.6
1.0,0.5,1.5,7.0,0.25,55,12.0,0.85,2.1039152720003784e-07,3.770159246485605e-05,0.0035458290006671334,1.6
1.0,0.5,1.5,8.0,0.25,55,13.0,0.85,8.884980445822421e-07,5.2015609169231425e-05,0.0033979502023158137,1.8
1.0,0.5,1.5,9.0,0.25,55,14.0,0.9,9.845850404976986e-07,7.292455903684658e-05,0.0002316572636054115,2.4
1.0,0.5,1.5,10.0,0.25,55,15.0,0.9,1.1537857750321123e-06,0.0001054745625207465,9.319100608040642e-05,2.7
1.0,0.8,1.8,3.0,0.25,46,8.0,0.6,6.348324502081226e-06,0.00038249123243239147,0.15258825911750096,0.8
1.0,0.8,1.8,4.0,0.25,46,9.0,0.7,2.561996753747131e-06,0.00011888545137750395,0.025193572726788904,0.9
1.0,0.8,1.8,5.0,0.25,46,10.0,0.7,2.600317282164255e-06,0.00033166040758447757,0.027273112900071617,1.2
1.0,0.8,1.8,6.0,0.25,46,11.0,0.8,1.2050510722616536e-07,5.847604659292571e-05,0.02524846813694781,1.4
1.0,0.8,1.8,7.0,0.25,46,12.0,0.85,1.2664301626275076e-06,0.0003116838475131223,0.0036678374991963025,1.6
1.0,0.8,1.8,8.0,0.25,46,13.0,0.75,1.6617277274200148e-06,0.0002081838540644032,0.007438034995242759,2.0
1.0,0.8,1.8,9.0,0.25,46,14.0,0.85,8.126726795953942e-07,4.114129227139607e-05,0.0017544317152853317,2.2
1.0,0.8,1.8,10.0,0.25,46,15.0,0.65,2.4043849091714975e-06,0.00035387287942123535,0.0016773925369270026,2.5
1.0,1.0,2.0,3.0,0.25,41,8.0,0.6,1.204531118181862e-07,0.00017038014994152917,0.23008303162028843,0.7
1.0,1.0,2.0,4.0,0.25,41,9.0,0.7,2.539373007426349e-07,5.956753764913003e-06,0.042351764959783766,0.9
1.0,1.0,2.0,5.0,0.25,41,10.0,0.75,2.2937738974881938e-07,2.0574776907089642e-05,0.0409606388906536,1.1
1.0,1.0,2.0,6.0,0.25,41,11.0,0.8,2.2044627590034338e-07,2.9044208665784943e-05,0.04006182967584837,1.2
1.0,1.0,2.0,7.0,0.25,41,12.0,0.8,2.2280016154230253e-07,3.996471806533286e-05,0.008668898093854294,1.4
1.0,1.0,2.0,8.0,0.25,41,13.0,0.85,9.425320919298485e-07,5.5237939234786815e-05,0.00847589657129566,1.7
1.0,1.0,2.0,9.0,0.25,41,14.0,0.85,1.048790618018991e-06,7.775620035499475e-05,0.0017409535538250864,2.0
1.0,1.0,2.0,10.0,0.25,41,15.0,0.85,1.2378118917633074e-06,0.00011325625391189753,0.0016121959087576077,2.2
1.0,1.2,2.2,3.0,0.25,38,8.0,0.6,4.936674047328893e-07,0.000173072224713966,0.14483142215865952,0.9
1.0,1.2,2.2,4.0,0.25,38,9.0,0.7,1.5961053874136155e-06,0.00012040166496929405,0.02650583023268349,1.0
1.0,1.2,2.2,5.0,0.25,38,10.0,0.7,7.797577556978297e-07,0.00011898862269910104,0.029332545702223545,1.2
1.0,1.2,2.2,6.0,0.25,38,11.0,0.8,7.775350807648351e-08,2.993343501578316e-05,0.027455442469732416,1.5
