ion,fate,tof_us,x_end,y_end,ke_last,t26,y26,t59,y59
0,thru,1112.810795573428,83.19502426826215,-6.78903619342865,0.017815734110117675,283.5277074719078,2.389091259882982,696.6878728927705,3.0027744781310113
1,thru,1117.351565530611,83.04098509024487,4.006685814369772,0.12401604958637555,286.84705504106097,0.2835255776453504,784.5825475167345,3.184135380356518
2,wall,670.191495821595,55.875,-4.258432017214456,0.10381804799988334,253.90743817282933,2.712349609479436,,
3,thru,1180.7832947345491,83.62499999999999,-7.322696911598259,0.018659584009906777,235.18576924753555,0.8313936422455016,679.0156395155427,2.3007637150129554
4,thru,1600.6479064930681,88.82288318192192,2.1997085001415417,0.05208698742090347,270.32220942465983,1.079031660304187,675.3897349001394,1.3901550311862778
5,thru,1104.8506182303656,82.91425230633614,-2.430523517696078,0.10753264512463816,327.4615180917007,0.9540417433300237,777.7850302176348,0.8423188279598692
6,thru,1129.2032484148153,82.875,-3.9163494404456642,0.017981556879005378,333.66592320229915,0.8505448777305632,786.0926717325573,2.803088768685078
7,thru,1482.606186727025,83.62499999999999,-4.0438824955653905,0.031039667355669095,253.4170084074578,1.4260076725614128,609.1751654769471,0.6080872220843698
8,thru,1221.6487936151411,83.4819722741994,7.868267528660508,0.05839941132147319,237.24247700756646,1.335353079079299,673.7544893790837,1.4343994268812097
9,thru,1045.7305341949668,83.45526768479496,-3.9698008415247155,0.10006087818505512,261.31365421027107,0.8895843628420868,658.0549950233716,1.1974817216320444
10,wall,611.5773451882757,50.16452089156582,1.1188214782112962,0.2990190366311123,306.9718150113413,0.0993457446880963,,
11,thru,1023.4210821646966,82.93217519193578,0.7003357569772224,0.10158999070319952,262.80136444989785,4.8104275542319765,704.3625111236192,4.469330222509884
12,thru,1114.6487106339255,83.28559215946413,7.147883561013187,0.15913157756420465,282.5598288560129,4.172233783609386,725.9032261597671,3.997031054046202
13,thru,962.9892651293568,76.875,6.990372928602044,0.03537045067479516,313.02069332434024,0.859317140165276,719.4292700923613,0.6109310433379768
14,wall,610.2567257816414,49.875,-5.572999190727958,0.10612815059434531,328.86672365533656,2.1249509092194097,,
15,thru,1332.5419582224094,83.62499999999999,6.3375350102195585,0.080093531702829,293.95090328562577,0.42794415840587186,742.3002603315423,5.499271426904058
16,thru,1107.3784605869737,82.875,2.233587602568991,0.13580872742535474,319.36621065627764,2.6923165452931586,780.6316929458909,3.830799537955649
17,thru,1056.8231744794257,83.00850589360304,7.442040840977077,0.05410438158607993,270.5430481206633,1.8938311080926555,665.1916593427155,1.337375378748575
18,thru,1000.0931675935634,80.17968108237328,7.469277877653854,0.03832882517436272,255.69591228766524,0.2953816010967568,715.8322416165186,1.7891608853027718
19,thru,1600.203261323714,86.28871875230445,6.200196851077411,0.02036478456105774,247.18163844696883,2.6418352361735846,773.5858825302682,1.5966349058353517
20,wall,353.67160170867527,34.875,-7.394056055436304,0.18890840140417745,246.64133621146152,3.701975626185027,,
