ion,fate,tof_us,x_end,y_end,ke_last,t26,y26,t59,y59
0,thru,962.84077081557,82.875,-6.114356074750716,0.07204119576007992,247.36479948508145,2.312186124904197,674.9841279426854,6.038709445793019
1,thru,1171.7651418504709,83.62499999999999,8.102451276814278,0.03732624378260078,308.96496982389124,0.6873444942741442,742.5828557928306,1.689010986501882
2,thru,931.6130053623181,76.875,-7.699084878756505,0.12256503474837968,269.55477126806016,0.8608293522139494,729.7452099970428,6.2404602347948215
3,thru,995.5380670092784,82.875,-7.424873113062699,0.17969620670284994,250.36434418447698,0.26577154537783365,681.0645260843547,1.9323087945013993
4,thru,1142.8797174466406,83.62499999999999,-4.2370520379021395,0.03544782830400319,226.6447804984662,0.8567214308364286,636.8121245395415,0.9398240393730547
5,thru,1092.0149231234957,82.875,2.6400552630741596,0.1657290859429733,302.9173962236912,1.8580594692290988,740.0943424312444,1.4395755305486266
6,thru,1229.3476553253358,83.62499999999999,5.381641210711447,0.03295877735617217,294.72973146328934,0.534862932296791,711.606712514644,0.4151226994032801
7,thru,978.3933602855102,82.99941969520782,6.2886728085543515,0.05308034542021559,240.96207810051908,3.9964681412027345,669.393025452734,3.955808987481001
8,thru,1600.6274390354822,87.92433547804505,10.104523365895474,0.02149034167950473,294.26890135077207,0.11758063005514255,777.0146853943564,1.9544371371325875
9,thru,1601.7391300798645,84.74148996024009,3.1106582460394128,0.0790144941853176,253.75964888873187,1.6921317406001093,698.0535518654656,2.9091491727642818
10,thru,932.8711200611639,71.19397869636187,7.534837516773892,0.06670042974026494,263.9040801780474,0.08010539249921886,793.5622432487601,3.8586654871967605
11,wall,388.35503650702475,37.875,2.4445644397527677,0.11352322204084898,241.73344405311434,2.407451008550779,,
12,thru,1601.4385397720062,85.68752395550091,4.075395751583177,0.02901455211480975,255.53786353948595,1.7958532401560277,759.2670394950901,2.642419456327346
13,wall,313.8916325308415,28.894352861222306,-2.2247444926091484,0.03485543067364047,263.82119367873844,1.651617414717166,,
14,thru,1157.9822275897252,82.9358415862975,7.17005387634094,0.09546538324791239,272.96102783913193,0.5567823487898907,725.4817510626092,4.689254777090188
15,thru,1413.8179419059472,83.50261091350829,6.842705039144987,0.0532618663668909,267.5440962385498,0.6787034452869298,672.6937403490033,0.3262467685881284
16,wall,420.0494108805936,32.55647305483197,5.928658001488053,0.0937985933327411,324.6003267937747,4.370337379993686,,
17,thru,857.8156885475387,74.47578437384887,5.044896978144928,0.06693628854019815,237.66050217949584,0.858034007177547,661.1579512739613,2.3285506558090674
18,thru,1026.3805309865677,82.875,7.295265839788239,0.06678434554005941,228.03245394406417,0.1285453152042707,643.4226843423717,3.0911118483718503
19,thru,914.655620933402,70.875,-8.21049661095673,0.11834106097544335,243.40841650054327,2.200212409000651,739.1105118363264,6.837270366823357
20,wall,542.0205902987304,40.875,-8.364336643604988,0.02930602747536543,340.5703108242361,2.1523520195170036,,
21,wall,395.02785692563236,37.875,5.671844532976863,0.08692332440041681,232.05674568716742,2.0348613802888655,,
22,wall,470.18782911332363,43.875,3.5070272645257683,0.15045510489092587,264.2389237556698,4.034750239487969,,
23,thru,955.6616456055293,82.875,7.917389807260172,0.1755143343425005,219.5367869414508,0.8117736009345151,632.597280605178,1.6329345614860504
24,thru,1029.145742002249,79.91677415575843,-6.035455333535155,0.12692933016439048,263.45069448497594,0.9204840691802745,730.6654053096074,2.7978278513428725
25,thru,1144.533823658677,82.875,3.9571309002093544,0.05743784968746666,300.48847468747323,3.9831070397482975,748.8753813505302,0.10656850085371335
26,thru,1089.7884249835988,80.34914972988022,7.873314106954505,0.06651670381672169,272.5607352704593,0.6646845250088623,775.6457984556146,0.8772060320460164
27,thru,728.4631696695191,64.875,7.571786119112482,0.0426017020532832,207.07720138925322,0.8244123803338762,677.3157494549943,5.95093762330254
28,wall,692.6366433598599,55.875,5.748628657032497,0.1428249317649973,262.96423654024653,4.864583834530929,,
29,wall,471.8996036001178,41.448687669909276,-5.169297789015109,0.03618705903466498,285.87096605752987,4.397154082867446,,
30,thru,1096.3088653010466,82.875,7.0397533891591735,0.12951039477459292,263.08322912334535,0.6299287777359719,753.6264434782512,2.0459623251116765
31,thru,1114.015032421829,82.875,-5.689639342587823,0.06099081122547589,243.3186004664808,0.3648296967087437,724.6119839910488,0.02208110635566949
32,thru,1099.7331238409354,83.62499999999999,-2.931423760840599,0.10957979545372096,245.90946234799767,0.32828204756404206,657.7786534125013,0.03897565379986705
33,thru,1097.4996548404338,83.4725660527398,7.816694632105914,0.13287744609368293,294.6538502006635,2.878411455873063,698.7157358455917,2.7678426865867163
34,thru,935.0792619506735,79.875,6.731022911264217,0.14900873152998828,289.67439595618526,0.9423050508221928,672.1696616113512,5.223748796567804
35,thru,1083.1070463167991,83.62499999999999,5.8469247102111535,0.08567423546068356,232.88273618551733,1.9947354270263844,631.8192384858698,2.93655484060382
36,wall,617.4315625306899,55.875,-2.9661823235112106,0.05612769776627727,258.13161785114295,4.624396620918477,,
37,thru,1001.9955320153263,83.1106415734909,-3.9426533102525947,0.13789568853530026,238.46642105675684,1.89859701623218,653.5605581153984,0.9917220306476091
38,thru,838.4681960954221,64.875,5.834195235215199,0.1567385341011147,332.3401089138034,3.588191538132221,743.8126201803169,4.1457483922764
39,wall,584.3588040384312,55.875,-6.322050961986475,0.02776949215789595,258.91078708767355,0.31613019985574237,,
